Type,Active,Name,Imdb id,Movie Tier,Production Cost,Rank,Price
Director,TRUE,Fetteroff Colen,nm0171266,,,,
Actor,TRUE,Val McAdoo,nm9590988,,,1,0
Actor,TRUE,Elizabeth Caponigro,nm9336238,,,2,0
Actor,TRUE,Elaina Marin,nm10810444,,,3,0
Actor,TRUE,Fetteroff Colen,nm0171266,,,4,0
Actor,TRUE,Danny Plaza,nm5700531,,,5,0
Actor,TRUE,Tim Duncan,nm14725037,,,6,0
Actor,TRUE,Markus Schaub,nm0770265,,,7,0
Actor,TRUE,Frank Volpe,nm3531665,,,8,0
Actor,TRUE,Tyler Andrews,nm11802313,,,9,0
Actor,TRUE,Theron G. Johnson,nm10924012,,,10,0
Actor,TRUE,John Fogarty,nm10556561,,,11,0
Actor,TRUE,Shanea Lattimore,nm5912641,,,12,0
Actor,TRUE,Craig Betz,nm11149836,,,13,0
Actor,TRUE,Grace McAdoo,nm12339115,,,14,0
Actor,TRUE,Diane Turnier,nm14762841,,,15,0
,,,,,,,
Movie,TRUE,"Good Luck, Have Fun, Don't Die",tt1341338,Indie,5000000,,25000
Director,TRUE,Gore Verbinski,nm0893659,,,,5000
Actor,TRUE,Sam Rockwell,nm0005377,,,1,5000
Actor,TRUE,Stevel Marc,nm2987241,,,2,5000
Actor,TRUE,Tanya van Graan,nm2117238,,,3,5000
Actor,TRUE,Cassiel Eatock-Winnik,nm3830648,,,4,5000
Actor,TRUE,Michael Peña,nm0671567,,,5,5000
Actor,TRUE,Mike Gassaway,nm1096816,,,6,2500
Actor,TRUE,Juno Temple,nm1017334,,,7,2500
Actor,TRUE,Asim Chaudhry,nm5219130,,,8,2500
Actor,TRUE,Zazie Beetz,nm5939164,,,9,2500
Actor,TRUE,Georgia Goodman,nm0657794,,,10,2500
Actor,TRUE,Haley Lu Richardson,nm4726634,,,11,1000
Actor,TRUE,Ryan Kruger,nm2278027,,,12,1000
Actor,TRUE,Anna Acton,nm1111917,,,13,1000
Actor,TRUE,Conrad Kemp,nm2883828,,,14,1000
Actor,TRUE,Elly Condron,nm5930685,,,15,1000
,,,,,,,
Movie,TRUE,Greenland 2: Migration,tt14850054,Indie,5000000,,25000
Director,TRUE,Ric Roman Waugh,nm0006846,,,,5000
Actor,TRUE,Morena Baccarin,nm1072555,,,1,5000
Actor,TRUE,Gerard Butler,nm0124930,,,2,5000
Actor,TRUE,Sophie Thompson,nm0860724,,,3,5000
Actor,TRUE,Roman Griffin Davis,nm9877392,,,4,5000
Actor,TRUE,William Abadie,nm1156818,,,5,5000
Actor,TRUE,Amber Rose Revah,nm2362244,,,6,2500
Actor,TRUE,Tommie Earl Jenkins,nm1045674,,,7,2500
Actor,TRUE,Trond Fausa,nm0042212,,,8,2500
Actor,TRUE,Rachael Evelyn,nm3656001,,,9,2500
Actor,TRUE,Nathan Wiley,nm4776189,,,10,2500
Actor,TRUE,Peter Polycarpou,nm0689948,,,11,1000
Actor,TRUE,Alex Lanipekun,nm1246448,,,12,1000
Actor,TRUE,Gordon Alexander,nm1259756,,,13,1000
Actor,TRUE,Sidsel Siem Koch,nm7116195,,,14,1000
Actor,TRUE,Shayn Herndon,nm6856819,,,15,1000
,,,,,,,
Movie,TRUE,Dead Man's Wire,tt15181326,Indie,5000000,,25000
Director,TRUE,Gus Van Sant,nm0001814,,,,5000
Actor,TRUE,Bill Skarsgård,nm0803889,,,1,5000
Actor,TRUE,Cary Elwes,nm0000144,,,2,5000
Actor,TRUE,Dacre Montgomery,nm4223882,,,3,5000
Actor,TRUE,Al Pacino,nm0000199,,,4,5000
Actor,TRUE,Myha'la,nm9684601,,,5,5000
Actor,TRUE,Jordan Claire Robbins,nm6951450,,,6,2500
Actor,TRUE,John Robinson,nm1440281,,,7,2500
Actor,TRUE,Kyle Rankin,nm11374120,,,8,2500
Actor,TRUE,Katie Kinman,nm14850161,,,9,2500
Actor,TRUE,Mark Helms,nm4945586,,,10,2500
Actor,TRUE,Vinh Nguyen,nm11538271,,,11,1000
Actor,TRUE,Stephanie Bertoni,nm1359058,,,12,1000
Actor,TRUE,Daniel R. Hill,nm4940132,,,13,1000
Actor,TRUE,Todd Gable,nm3693617,,,14,1000
Actor,TRUE,Danielle Munday,nm12159141,,,15,1000
,,,,,,,
Movie,TRUE,Peaky Blinders: The Immortal Man,tt15574124,Mainstream,50000000,,50000
Director,TRUE,Tom Harper,nm2197777,,,,15000
Actor,TRUE,Sammy Jonas Heaney,nm9716187,,,1,15000
Actor,TRUE,Stephen Graham,nm0334318,,,2,15000
Actor,TRUE,Tim Roth,nm0000619,,,3,15000
Actor,TRUE,Ned Dennehy,nm0219329,,,4,15000
Actor,TRUE,Cillian Murphy,nm0614165,,,5,15000
Actor,TRUE,Andy M Milligan,nm13580290,,,6,10000
Actor,TRUE,Thomas Arnold,nm1112861,,,7,10000
Actor,TRUE,Barry Keoghan,nm4422686,,,8,10000
Actor,TRUE,Max Cavenham,nm5663171,,,9,10000
Actor,TRUE,Ian Peck,nm0669667,,,10,10000
Actor,TRUE,Rebecca Ferguson,nm0272581,,,11,5000
Actor,TRUE,Mark Wilkinson,nm15508796,,,12,5000
Actor,TRUE,Packy Lee,nm0497970,,,13,5000
Actor,TRUE,Sophie Rundle,nm2570706,,,14,5000
Actor,TRUE,Martin Angerbauer,nm2567625,,,15,5000
,,,,,,,
Movie,TRUE,Bad Voodoo,tt15716368,Indie,5000000,,25000
Director,TRUE,Andrew Adler,nm1128052,,,,5000
Director,TRUE,Andre Hepburn,nm5280342,,,,5000
Actor,TRUE,John Fiore,nm0278468,,,1,5000
Actor,TRUE,Manny Perez,nm0673563,,,2,5000
Actor,TRUE,Cristina Moody,nm3783201,,,3,5000
Actor,TRUE,Scott Sederquist,nm7630720,,,4,5000
Actor,TRUE,Charlie Alejandro,nm3077057,,,5,5000
Actor,TRUE,Justin Genna,nm5340756,,,6,2500
Actor,TRUE,Jimmy C. Jules,nm5520719,,,7,2500
Actor,TRUE,Alex Joseph Pires,nm5012684,,,8,2500
Actor,TRUE,Gary Moujabber,nm14922487,,,9,2500
Actor,TRUE,Isabella Leone,nm6844328,,,10,2500
Actor,TRUE,Justin Lombard,nm13682600,,,11,1000
Actor,TRUE,Anthony Firicano,nm7975315,,,12,1000
Actor,TRUE,Miatta Shafore,nm13346161,,,13,1000
Actor,TRUE,Annaliese Curry,nm12689664,,,14,1000
Actor,TRUE,Allison Klinman,nm5022664,,,15,1000
,,,,,,,
Movie,TRUE,Animal Friends,tt16911616,Mainstream,0,,0
Director,TRUE,Peter Atencio,nm1534595,,,,
Actor,TRUE,Kexin Wang,nm4800168,,,1,0
Actor,TRUE,Joaquim de Almeida,nm0021835,,,2,0
Actor,TRUE,Ryan Reynolds,nm0005351,,,3,0
Actor,TRUE,Brian Caspe,nm1340370,,,4,0
Actor,TRUE,Aubrey Plaza,nm2201555,,,5,0
Actor,TRUE,Lil Rel Howery,nm2577076,,,6,0
Actor,TRUE,Donald Sage Mackay,nm0533155,,,7,0
Actor,TRUE,Jason Momoa,nm0597388,,,8,0
Actor,TRUE,Euan Macnaughton,nm0534082,,,9,0
Actor,TRUE,Nathan Cooper,nm7724402,,,10,0
Actor,TRUE,JR Esposito,nm2546971,,,11,0
Actor,TRUE,Reis Daniel,nm6319877,,,12,0
Actor,TRUE,Owen Davis,nm3799259,,,13,0
Actor,TRUE,Dan Levy,nm2391794,,,14,0
Actor,TRUE,Ellie Bamber,nm5166444,,,15,0
,,,,,,,
Movie,TRUE,Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free,tt17042980,Mainstream,0,,0
Director,TRUE,Trey Parker,nm0005295,,,,
Actor,TRUE,Kellan Tetlow,nm13570675,,,1,0
Actor,TRUE,Hannes Schaller,nm17870693,,,2,0
Actor,TRUE,Blu Owens,nm13121237,,,3,0
Actor,TRUE,Enzian Schaller,nm17888533,,,4,0
Actor,TRUE,Preston Galli,nm14188637,,,5,0
Actor,TRUE,Hal Dion,nm0227918,,,6,0
Actor,TRUE,Koa Cohen,nm15171475,,,7,0
,,,,,,,
Movie,TRUE,Psycho Killer,tt1764551,Indie,5000000,,25000
Director,TRUE,Gavin Polone,nm0689780,,,,5000
Actor,TRUE,Dutchess Cayetano,nm12299713,,,1,5000
Actor,TRUE,Malcolm McDowell,nm0000532,,,2,5000
Actor,TRUE,John B. Lowe,nm0522979,,,3,5000
