Movie Name,Is Active?,Movie Tier (Indie/Mainstream/Blockbuster),Production Cost,Imdb_Id,status,price,Link to Movie
Hoppers,TRUE,"Blockbuster (Price 100,000)",150000000,tt33088413,,100000,imdb.com/title/tt33088413
The Drama,TRUE,"Indie (Price 25,000)",5000000,tt33071426,,25000,imdb.com/title/tt33071426
Ástin sem eftir er,TRUE,"Indie (Price 25,000)",5000000,tt33381401,,25000,imdb.com/title/tt33381401
Wuthering Heights,TRUE,"Mainstream (Price 50,000)",50000000,tt32897959,,50000,imdb.com/title/tt32897959
Dow's: The Story of Helen & Roger,TRUE,"Indie (Price 25,000)",5000000,tt33543806,,25000,imdb.com/title/tt33543806
A Great Awakening,TRUE,"Indie (Price 25,000)",5000000,tt33305882,,25000,imdb.com/title/tt33305882
The Rip,TRUE,"Indie (Price 25,000)",5000000,tt32642706,,25000,imdb.com/title/tt32642706
Peaches Goes Bananas,TRUE,"Indie (Price 25,000)",5000000,tt30327721,,25000,imdb.com/title/tt30327721
Whistle,TRUE,"Indie (Price 25,000)",5000000,tt29550683,,25000,imdb.com/title/tt29550683
Mercy,TRUE,"Mainstream (Price 50,000)",50000000,tt31050594,,50000,imdb.com/title/tt31050594
Clika,TRUE,"Mainstream (Price 50,000)",50000000,tt28334938,,50000,imdb.com/title/tt28334938
The Bride!,TRUE,"Indie (Price 25,000)",5000000,tt30851137,,25000,imdb.com/title/tt30851137
The Strangers: Chapter 3,TRUE,"Mainstream (Price 50,000)",50000000,tt28682323,,50000,imdb.com/title/tt28682323
Deep Water,TRUE,"Indie (Price 25,000)",5000000,tt29516222,,25000,imdb.com/title/tt29516222
Southside Kev,TRUE,"Indie (Price 25,000)",5000000,tt31015089,,25000,imdb.com/title/tt31015089
JFK Jr.,TRUE,"Indie (Price 25,000)",5000000,tt28633043,,25000,imdb.com/title/tt28633043
Normal,TRUE,"Indie (Price 25,000)",5000000,tt31195136,,25000,imdb.com/title/tt31195136
The Singing Priest,TRUE,"Indie (Price 25,000)",5000000,tt32207971,,25000,imdb.com/title/tt32207971
Dreams,TRUE,"Indie (Price 25,000)",5000000,tt31710990,,25000,imdb.com/title/tt31710990
28 Years Later: The Bone Temple,TRUE,"Mainstream (Price 50,000)",50000000,tt32141377,,50000,imdb.com/title/tt32141377
Dracula: A Love Tale,TRUE,"Mainstream (Price 50,000)",50000000,tt31434030,,50000,imdb.com/title/tt31434030
They Will Kill You,TRUE,"Indie (Price 25,000)",5000000,tt31728330,,25000,imdb.com/title/tt31728330
Jimpa,TRUE,"Indie (Price 25,000)",5000000,tt23745668,,25000,imdb.com/title/tt23745668
GOAT,TRUE,"Indie (Price 25,000)",5000000,tt27613895,,25000,imdb.com/title/tt27613895
Demon Squad: Tooth and Claw,TRUE,"Indie (Price 25,000)",5000000,tt27575701,,25000,imdb.com/title/tt27575701
Scream 7,TRUE,"Blockbuster (Price 100,000)",150000000,tt27047903,,100000,imdb.com/title/tt27047903
Islands,TRUE,"Indie (Price 25,000)",5000000,tt27796126,,25000,imdb.com/title/tt27796126
Return to Silent Hill,TRUE,"Mainstream (Price 50,000)",50000000,tt22868010,,50000,imdb.com/title/tt22868010
Animal Farm,TRUE,"Indie (Price 25,000)",5000000,tt2467700,,25000,imdb.com/title/tt2467700
Project Hail Mary,TRUE,"Indie (Price 25,000)",5000000,tt12042730,,25000,imdb.com/title/tt12042730
Michael,TRUE,"Indie (Price 25,000)",5000000,tt11378946,,25000,imdb.com/title/tt11378946
"Good Luck, Have Fun, Don't Die",TRUE,"Indie (Price 25,000)",5000000,tt1341338,,25000,imdb.com/title/tt1341338
H Is for Hawk,TRUE,"Indie (Price 25,000)",5000000,tt10329560,,25000,imdb.com/title/tt10329560
4 Kids Walk Into a Bank,TRUE,"Indie (Price 25,000)",5000000,tt13071984,,25000,imdb.com/title/tt13071984
The Pout-Pout Fish,TRUE,"Indie (Price 25,000)",5000000,tt12824390,,25000,imdb.com/title/tt12824390
Dead Man's Wire,TRUE,"Indie (Price 25,000)",5000000,tt15181326,,25000,imdb.com/title/tt15181326
Love Me Dead,TRUE,"Indie (Price 25,000)",5000000,tt11680698,,25000,imdb.com/title/tt11680698
Bad Voodoo,TRUE,"Indie (Price 25,000)",5000000,tt15716368,,25000,imdb.com/title/tt15716368
Revolt,TRUE,"Indie (Price 25,000)",5000000,tt21438146,,25000,imdb.com/title/tt21438146
Avengers: Doomsday,TRUE,"Blockbuster (Price 100,000)",150000000,tt21361438,,100000,imdb.com/title/tt21361438
Youngblood,TRUE,"Indie (Price 25,000)",5000000,tt22005882,,25000,imdb.com/title/tt22005882
Psycho Killer,TRUE,"Indie (Price 25,000)",5000000,tt1764551,,25000,imdb.com/title/tt1764551
The Dog Stars,TRUE,"Indie (Price 25,000)",5000000,tt21285562,,25000,imdb.com/title/tt21285562
Peaky Blinders: The Immortal Man,TRUE,"Mainstream (Price 50,000)",50000000,tt15574124,,50000,imdb.com/title/tt15574124
The Conspiracists,TRUE,"Indie (Price 25,000)",5000000,tt36967910,,25000,imdb.com/title/tt36967910
The Chronology of Water,TRUE,"Indie (Price 25,000)",5000000,tt8667404,,25000,imdb.com/title/tt8667404
Greenland 2: Migration,TRUE,"Indie (Price 25,000)",5000000,tt14850054,,25000,imdb.com/title/tt14850054
