movie_name,movie_imdb_id,release_date,actor_name,actor_imdb_id,rank
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Jack Dylan Grazer,nm6244013,2
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Teresa Palmer,nm1954240,3
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Spike Fearn,nm10514458,4
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Jim Sturgess,nm0836343,5
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Catherine Caylee Cowan,nm9090581,6
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Whitney Peak,nm8857173,7
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Talia Ryder,nm7867621,8
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Deacon Phillippe,nm11213606,9
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Sam Strike,nm5307635,10
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,George Basil,nm4097479,11
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Stephanie Karam,nm12345241,12
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Christine Torto,nm12122362,13
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Brigid Leahy,nm8414895,14
4 Kids Walk Into a Bank,tt13071984,2026-04-17 00:00:00,Sorcha Real,nm13804450,15
Booo,tt13245002,2026-03-26 00:00:00,Val McAdoo,nm9590988,1
Booo,tt13245002,2026-03-26 00:00:00,Elizabeth Caponigro,nm9336238,2
Booo,tt13245002,2026-03-26 00:00:00,Elaina Marin,nm10810444,3
Booo,tt13245002,2026-03-26 00:00:00,Fetteroff Colen,nm0171266,4
Booo,tt13245002,2026-03-26 00:00:00,Danny Plaza,nm5700531,5
Booo,tt13245002,2026-03-26 00:00:00,Tim Duncan,nm14725037,6
Booo,tt13245002,2026-03-26 00:00:00,Markus Schaub,nm0770265,7
Booo,tt13245002,2026-03-26 00:00:00,Frank Volpe,nm3531665,8
Booo,tt13245002,2026-03-26 00:00:00,Tyler Andrews,nm11802313,9
Booo,tt13245002,2026-03-26 00:00:00,Theron G. Johnson,nm10924012,10
Booo,tt13245002,2026-03-26 00:00:00,John Fogarty,nm10556561,11
Booo,tt13245002,2026-03-26 00:00:00,Shanea Lattimore,nm5912641,12
Booo,tt13245002,2026-03-26 00:00:00,Craig Betz,nm11149836,13
Booo,tt13245002,2026-03-26 00:00:00,Grace McAdoo,nm12339115,14
Booo,tt13245002,2026-03-26 00:00:00,Diane Turnier,nm14762841,15
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Sam Rockwell,nm0005377,1
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Stevel Marc,nm2987241,2
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Tanya van Graan,nm2117238,3
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Cassiel Eatock-Winnik,nm3830648,4
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Michael Peña,nm0671567,5
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Mike Gassaway,nm1096816,6
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Juno Temple,nm1017334,7
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Asim Chaudhry,nm5219130,8
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Zazie Beetz,nm5939164,9
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Georgia Goodman,nm0657794,10
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Haley Lu Richardson,nm4726634,11
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Ryan Kruger,nm2278027,12
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Anna Acton,nm1111917,13
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Conrad Kemp,nm2883828,14
"Good Luck, Have Fun, Don't Die",tt1341338,2026-02-13 00:00:00,Elly Condron,nm5930685,15
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Morena Baccarin,nm1072555,1
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Gerard Butler,nm0124930,2
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Sophie Thompson,nm0860724,3
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Roman Griffin Davis,nm9877392,4
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,William Abadie,nm1156818,5
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Amber Rose Revah,nm2362244,6
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Tommie Earl Jenkins,nm1045674,7
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Trond Fausa,nm0042212,8
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Rachael Evelyn,nm3656001,9
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Nathan Wiley,nm4776189,10
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Peter Polycarpou,nm0689948,11
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Alex Lanipekun,nm1246448,12
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Gordon Alexander,nm1259756,13
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Sidsel Siem Koch,nm7116195,14
Greenland 2: Migration,tt14850054,2026-01-09 00:00:00,Shayn Herndon,nm6856819,15
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Bill Skarsgård,nm0803889,1
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Cary Elwes,nm0000144,2
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Dacre Montgomery,nm4223882,3
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Al Pacino,nm0000199,4
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Myha'la,nm9684601,5
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Jordan Claire Robbins,nm6951450,6
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,John Robinson,nm1440281,7
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Kyle Rankin,nm11374120,8
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Katie Kinman,nm14850161,9
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Mark Helms,nm4945586,10
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Vinh Nguyen,nm11538271,11
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Stephanie Bertoni,nm1359058,12
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Daniel R. Hill,nm4940132,13
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Todd Gable,nm3693617,14
Dead Man's Wire,tt15181326,2026-01-16 00:00:00,Danielle Munday,nm12159141,15
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Sammy Jonas Heaney,nm9716187,1
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Stephen Graham,nm0334318,2
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Tim Roth,nm0000619,3
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Ned Dennehy,nm0219329,4
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Cillian Murphy,nm0614165,5
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Andy M Milligan,nm13580290,6
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Thomas Arnold,nm1112861,7
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Barry Keoghan,nm4422686,8
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Max Cavenham,nm5663171,9
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Ian Peck,nm0669667,10
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Rebecca Ferguson,nm0272581,11
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Mark Wilkinson,nm15508796,12
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Packy Lee,nm0497970,13
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Sophie Rundle,nm2570706,14
Peaky Blinders: The Immortal Man,tt15574124,2026-03-20 00:00:00,Martin Angerbauer,nm2567625,15
Bad Voodoo,tt15716368,2026-04-03 00:00:00,John Fiore,nm0278468,1
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Manny Perez,nm0673563,2
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Cristina Moody,nm3783201,3
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Scott Sederquist,nm7630720,4
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Charlie Alejandro,nm3077057,5
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Justin Genna,nm5340756,6
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Jimmy C. Jules,nm5520719,7
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Alex Joseph Pires,nm5012684,8
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Gary Moujabber,nm14922487,9
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Isabella Leone,nm6844328,10
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Justin Lombard,nm13682600,11
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Anthony Firicano,nm7975315,12
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Miatta Shafore,nm13346161,13
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Annaliese Curry,nm12689664,14
Bad Voodoo,tt15716368,2026-04-03 00:00:00,Allison Klinman,nm5022664,15
Animal Friends,tt16911616,2026-05-01 00:00:00,Kexin Wang,nm4800168,1
Animal Friends,tt16911616,2026-05-01 00:00:00,Joaquim de Almeida,nm0021835,2
Animal Friends,tt16911616,2026-05-01 00:00:00,Ryan Reynolds,nm0005351,3
Animal Friends,tt16911616,2026-05-01 00:00:00,Brian Caspe,nm1340370,4
Animal Friends,tt16911616,2026-05-01 00:00:00,Aubrey Plaza,nm2201555,5
Animal Friends,tt16911616,2026-05-01 00:00:00,Lil Rel Howery,nm2577076,6
Animal Friends,tt16911616,2026-05-01 00:00:00,Donald Sage Mackay,nm0533155,7
Animal Friends,tt16911616,2026-05-01 00:00:00,Jason Momoa,nm0597388,8
Animal Friends,tt16911616,2026-05-01 00:00:00,Euan Macnaughton,nm0534082,9
Animal Friends,tt16911616,2026-05-01 00:00:00,Nathan Cooper,nm7724402,10
Animal Friends,tt16911616,2026-05-01 00:00:00,JR Esposito,nm2546971,11
Animal Friends,tt16911616,2026-05-01 00:00:00,Reis Daniel,nm6319877,12
Animal Friends,tt16911616,2026-05-01 00:00:00,Owen Davis,nm3799259,13
Animal Friends,tt16911616,2026-05-01 00:00:00,Dan Levy,nm2391794,14
Animal Friends,tt16911616,2026-05-01 00:00:00,Ellie Bamber,nm5166444,15
Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free,tt17042980,2026-03-20 00:00:00,Kellan Tetlow,nm13570675,1
Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free,tt17042980,2026-03-20 00:00:00,Hannes Schaller,nm17870693,2
Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free,tt17042980,2026-03-20 00:00:00,Blu Owens,nm13121237,3
Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free,tt17042980,2026-03-20 00:00:00,Enzian Schaller,nm17888533,4
Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free,tt17042980,2026-03-20 00:00:00,Preston Galli,nm14188637,5
Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free,tt17042980,2026-03-20 00:00:00,Hal Dion,nm0227918,6
Untitled Trey Parker / Matt Stone / Kendrick Lamar / Dave Free,tt17042980,2026-03-20 00:00:00,Koa Cohen,nm15171475,7
Psycho Killer,tt1764551,2026-02-20 00:00:00,Dutchess Cayetano,nm12299713,1
Psycho Killer,tt1764551,2026-02-20 00:00:00,Malcolm McDowell,nm0000532,2
Psycho Killer,tt1764551,2026-02-20 00:00:00,John B. Lowe,nm0522979,3
Psycho Killer,tt1764551,2026-02-20 00:00:00,Logan Miller,nm2383250,4
Psycho Killer,tt1764551,2026-02-20 00:00:00,James Preston Rogers,nm2286416,5
Psycho Killer,tt1764551,2026-02-20 00:00:00,Georgina Campbell,nm3569284,6
Psycho Killer,tt1764551,2026-02-20 00:00:00,Yan Joseph,nm2845784,7
Psycho Killer,tt1764551,2026-02-20 00:00:00,David Tomlinson,nm9460955,8
Psycho Killer,tt1764551,2026-02-20 00:00:00,Josh Strait,nm1382676,9
Psycho Killer,tt1764551,2026-02-20 00:00:00,Stephen Adekolu,nm9522926,10
Psycho Killer,tt1764551,2026-02-20 00:00:00,Cassandra Ebner,nm5071850,11
Psycho Killer,tt1764551,2026-02-20 00:00:00,Aaron Merke,nm2430074,12
Psycho Killer,tt1764551,2026-02-20 00:00:00,Michael Strickland,nm5482340,13
Psycho Killer,tt1764551,2026-02-20 00:00:00,Terry Ray,nm2875368,14
Psycho Killer,tt1764551,2026-02-20 00:00:00,Derek Kun,nm10821676,15
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Yasmine Al Massri,nm2316907,1
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Yahya Mahayni,nm8284773,2
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Omar Sy,nm1082477,3
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Ziad Bakri,nm2865678,4
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Constantine Markoulakis,nm0548607,5
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Ayman Samman,nm2942686,6
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Jason Beghe,nm0000892,7
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Jay Abdo,nm2178881,8
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Vicky Papadopoulou,nm1779556,9
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Fares Helou,nm1097214,10
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Saleh Bakri,nm2759746,11
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Ioanna Meli,nm3695516,12
I Was a Stranger,tt21272942,2026-01-09 00:00:00,Yumna Marwan,nm6575696,13
